unit_id,workload,sample_rows,repeat_index,measurement_block_id,permutation_id,order_position,strategy_id,started_at_utc,client_materialization_latency_ms,process_cpu_time_ms,output_row_count,semantic_result_digest
bts-full-2024-01,bts,547271,20,bts-full-2024-01-block-020,fused -> materialize-after-gov-002-mask -> materialize-after-bts-filter,2,materialize-after-bts-filter,2026-07-19T05:22:39.295925+00:00,577.7769,718.75,106251,sha256:16a46f300cbbf11937f6922e35eb1c32021e8b173bfcea0d370d2525f28bdeef
bts-full-2024-01,bts,547271,21,bts-full-2024-01-block-021,materialize-after-bts-filter -> fused -> materialize-after-gov-002-mask,0,materialize-after-bts-filter,2026-07-19T05:22:40.593092+00:00,650.7843,750.0,106251,sha256:16a46f300cbbf11937f6922e35eb1c32021e8b173bfcea0d370d2525f28bdeef
bts-full-2024-01,bts,547271,21,bts-full-2024-01-block-021,materialize-after-bts-filter -> fused -> materialize-after-gov-002-mask,1,fused,2026-07-19T05:22:42.115769+00:00,660.5243,703.125,106251,sha256:16a46f300cbbf11937f6922e35eb1c32021e8b173bfcea0d370d2525f28bdeef
bts-full-2024-01,bts,547271,21,bts-full-2024-01-block-021,materialize-after-bts-filter -> fused -> materialize-after-gov-002-mask,2,materialize-after-gov-002-mask,2026-07-19T05:22:43.634516+00:00,592.148,718.75,106251,sha256:16a46f300cbbf11937f6922e35eb1c32021e8b173bfcea0d370d2525f28bdeef
bts-full-2024-01,bts,547271,22,bts-full-2024-01-block-022,materialize-after-gov-002-mask -> materialize-after-bts-filter -> fused,0,materialize-after-gov-002-mask,2026-07-19T05:22:45.138460+00:00,649.9105,781.25,106251,sha256:16a46f300cbbf11937f6922e35eb1c32021e8b173bfcea0d370d2525f28bdeef
bts-full-2024-01,bts,547271,22,bts-full-2024-01-block-022,materialize-after-gov-002-mask -> materialize-after-bts-filter -> fused,1,materialize-after-bts-filter,2026-07-19T05:22:46.831416+00:00,925.4037,1031.25,106251,sha256:16a46f300cbbf11937f6922e35eb1c32021e8b173bfcea0d370d2525f28bdeef
bts-full-2024-01,bts,547271,22,bts-full-2024-01-block-022,materialize-after-gov-002-mask -> materialize-after-bts-filter -> fused,2,fused,2026-07-19T05:22:49.142295+00:00,893.3702,1000.0,106251,sha256:16a46f300cbbf11937f6922e35eb1c32021e8b173bfcea0d370d2525f28bdeef
bts-full-2024-01,bts,547271,23,bts-full-2024-01-block-023,fused -> materialize-after-bts-filter -> materialize-after-gov-002-mask,0,fused,2026-07-19T05:22:51.429457+00:00,896.0279,906.25,106251,sha256:16a46f300cbbf11937f6922e35eb1c32021e8b173bfcea0d370d2525f28bdeef
bts-full-2024-01,bts,547271,23,bts-full-2024-01-block-023,fused -> materialize-after-bts-filter -> materialize-after-gov-002-mask,1,materialize-after-bts-filter,2026-07-19T05:22:53.486890+00:00,944.8774,1093.75,106251,sha256:16a46f300cbbf11937f6922e35eb1c32021e8b173bfcea0d370d2525f28bdeef
bts-full-2024-01,bts,547271,23,bts-full-2024-01-block-023,fused -> materialize-after-bts-filter -> materialize-after-gov-002-mask,2,materialize-after-gov-002-mask,2026-07-19T05:22:55.606513+00:00,750.3942,781.25,106251,sha256:16a46f300cbbf11937f6922e35eb1c32021e8b173bfcea0d370d2525f28bdeef
bts-full-2024-01,bts,547271,24,bts-full-2024-01-block-024,materialize-after-gov-002-mask -> materialize-after-bts-filter -> fused,0,materialize-after-gov-002-mask,2026-07-19T05:22:57.374805+00:00,509.809,625.0,106251,sha256:16a46f300cbbf11937f6922e35eb1c32021e8b173bfcea0d370d2525f28bdeef
bts-full-2024-01,bts,547271,24,bts-full-2024-01-block-024,materialize-after-gov-002-mask -> materialize-after-bts-filter -> fused,1,materialize-after-bts-filter,2026-07-19T05:22:58.726987+00:00,781.2588,796.875,106251,sha256:16a46f300cbbf11937f6922e35eb1c32021e8b173bfcea0d370d2525f28bdeef
bts-full-2024-01,bts,547271,24,bts-full-2024-01-block-024,materialize-after-gov-002-mask -> materialize-after-bts-filter -> fused,2,fused,2026-07-19T05:23:00.980143+00:00,925.6737,953.125,106251,sha256:16a46f300cbbf11937f6922e35eb1c32021e8b173bfcea0d370d2525f28bdeef
bts-full-2024-01,bts,547271,25,bts-full-2024-01-block-025,fused -> materialize-after-gov-002-mask -> materialize-after-bts-filter,0,fused,2026-07-19T05:23:03.002534+00:00,785.4032,843.75,106251,sha256:16a46f300cbbf11937f6922e35eb1c32021e8b173bfcea0d370d2525f28bdeef
bts-full-2024-01,bts,547271,25,bts-full-2024-01-block-025,fused -> materialize-after-gov-002-mask -> materialize-after-bts-filter,1,materialize-after-gov-002-mask,2026-07-19T05:23:05.091201+00:00,866.2816,937.5,106251,sha256:16a46f300cbbf11937f6922e35eb1c32021e8b173bfcea0d370d2525f28bdeef
bts-full-2024-01,bts,547271,25,bts-full-2024-01-block-025,fused -> materialize-after-gov-002-mask -> materialize-after-bts-filter,2,materialize-after-bts-filter,2026-07-19T05:23:07.356466+00:00,837.5522,1015.625,106251,sha256:16a46f300cbbf11937f6922e35eb1c32021e8b173bfcea0d370d2525f28bdeef
bts-full-2024-01,bts,547271,26,bts-full-2024-01-block-026,materialize-after-bts-filter -> fused -> materialize-after-gov-002-mask,0,materialize-after-bts-filter,2026-07-19T05:23:09.161039+00:00,755.826,906.25,106251,sha256:16a46f300cbbf11937f6922e35eb1c32021e8b173bfcea0d370d2525f28bdeef
bts-full-2024-01,bts,547271,26,bts-full-2024-01-block-026,materialize-after-bts-filter -> fused -> materialize-after-gov-002-mask,1,fused,2026-07-19T05:23:10.838482+00:00,578.9126,578.125,106251,sha256:16a46f300cbbf11937f6922e35eb1c32021e8b173bfcea0d370d2525f28bdeef
bts-full-2024-01,bts,547271,26,bts-full-2024-01-block-026,materialize-after-bts-filter -> fused -> materialize-after-gov-002-mask,2,materialize-after-gov-002-mask,2026-07-19T05:23:12.145578+00:00,500.0337,562.5,106251,sha256:16a46f300cbbf11937f6922e35eb1c32021e8b173bfcea0d370d2525f28bdeef
bts-full-2024-01,bts,547271,27,bts-full-2024-01-block-027,fused -> materialize-after-bts-filter -> materialize-after-gov-002-mask,0,fused,2026-07-19T05:23:13.481096+00:00,713.7061,781.25,106251,sha256:16a46f300cbbf11937f6922e35eb1c32021e8b173bfcea0d370d2525f28bdeef
bts-full-2024-01,bts,547271,27,bts-full-2024-01-block-027,fused -> materialize-after-bts-filter -> materialize-after-gov-002-mask,1,materialize-after-bts-filter,2026-07-19T05:23:15.066487+00:00,716.0195,859.375,106251,sha256:16a46f300cbbf11937f6922e35eb1c32021e8b173bfcea0d370d2525f28bdeef
bts-full-2024-01,bts,547271,27,bts-full-2024-01-block-027,fused -> materialize-after-bts-filter -> materialize-after-gov-002-mask,2,materialize-after-gov-002-mask,2026-07-19T05:23:16.587918+00:00,692.7256,812.5,106251,sha256:16a46f300cbbf11937f6922e35eb1c32021e8b173bfcea0d370d2525f28bdeef
bts-full-2024-01,bts,547271,28,bts-full-2024-01-block-028,materialize-after-gov-002-mask -> fused -> materialize-after-bts-filter,0,materialize-after-gov-002-mask,2026-07-19T05:23:18.480817+00:00,816.1504,828.125,106251,sha256:16a46f300cbbf11937f6922e35eb1c32021e8b173bfcea0d370d2525f28bdeef
bts-full-2024-01,bts,547271,28,bts-full-2024-01-block-028,materialize-after-gov-002-mask -> fused -> materialize-after-bts-filter,1,fused,2026-07-19T05:23:20.294239+00:00,743.8119,812.5,106251,sha256:16a46f300cbbf11937f6922e35eb1c32021e8b173bfcea0d370d2525f28bdeef
bts-full-2024-01,bts,547271,28,bts-full-2024-01-block-028,materialize-after-gov-002-mask -> fused -> materialize-after-bts-filter,2,materialize-after-bts-filter,2026-07-19T05:23:22.050154+00:00,1013.0793,1031.25,106251,sha256:16a46f300cbbf11937f6922e35eb1c32021e8b173bfcea0d370d2525f28bdeef
bts-full-2024-01,bts,547271,29,bts-full-2024-01-block-029,materialize-after-bts-filter -> materialize-after-gov-002-mask -> fused,0,materialize-after-bts-filter,2026-07-19T05:23:24.272951+00:00,888.5322,968.75,106251,sha256:16a46f300cbbf11937f6922e35eb1c32021e8b173bfcea0d370d2525f28bdeef
